segm_idx,tablet_CDLI,view_desc,collection,mzl_label,train_label,bbox,relative_bbox
2061,P334894,Obv,saa05,839,11,"[805, 1979, 871, 2055]","[165, 60, 231, 136]"
2061,P334894,Obv,saa05,110,4,"[860, 1988, 981, 2049]","[220, 69, 341, 130]"
2061,P334894,Obv,saa05,18,210,"[811, 2056, 948, 2133]","[171, 137, 308, 214]"
2061,P334894,Obv,saa05,24,58,"[927, 2059, 1046, 2131]","[287, 140, 406, 212]"
2061,P334894,Obv,saa05,812,82,"[804, 2136, 908, 2220]","[164, 217, 268, 301]"
2061,P334894,Obv,saa05,661,16,"[878, 2147, 924, 2200]","[238, 228, 284, 281]"
2061,P334894,Obv,saa05,736,77,"[917, 2129, 1047, 2206]","[277, 210, 407, 287]"
2061,P334894,Obv,saa05,266,119,"[896, 2215, 1047, 2303]","[256, 296, 407, 384]"
2061,P334894,Obv,saa05,839,11,"[802, 2302, 878, 2379]","[162, 383, 238, 460]"
2061,P334894,Obv,saa05,248,5,"[851, 2306, 962, 2382]","[211, 387, 322, 463]"
2061,P334894,Obv,saa05,839,11,"[953, 2302, 1025, 2380]","[313, 383, 385, 461]"
2061,P334894,Obv,saa05,753,81,"[1028, 2297, 1133, 2383]","[388, 378, 493, 464]"
2061,P334894,Obv,saa05,252,80,"[1128, 2322, 1229, 2375]","[488, 403, 589, 456]"
2061,P334894,Obv,saa05,566,148,"[803, 2214, 918, 2298]","[163, 295, 278, 379]"
2061,P334894,Obv,saa05,110,4,"[1004, 2382, 1095, 2471]","[364, 463, 455, 552]"
2061,P334894,Obv,saa05,839,11,"[1099, 2395, 1149, 2460]","[459, 476, 509, 541]"
2061,P334894,Obv,saa05,839,11,"[1151, 2395, 1206, 2463]","[511, 476, 566, 544]"
2061,P334894,Obv,saa05,708,173,"[949, 2375, 1012, 2450]","[309, 456, 372, 531]"
2061,P334894,Obv,saa05,578,98,"[894, 2373, 956, 2464]","[254, 454, 316, 545]"
2061,P334894,Obv,saa05,566,148,"[799, 2370, 911, 2463]","[159, 451, 271, 544]"
2061,P334894,Obv,saa05,1,2,"[802, 2478, 873, 2534]","[162, 559, 233, 615]"
2061,P334894,Obv,saa05,248,5,"[875, 2470, 990, 2541]","[235, 551, 350, 622]"
2061,P334894,Obv,saa05,132,90,"[976, 2473, 1070, 2541]","[336, 554, 430, 622]"
2061,P334894,Obv,saa05,753,81,"[1063, 2462, 1150, 2533]","[423, 543, 510, 614]"
